loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,mink++_0.1,mink++_0.2,mink++_0.3,mink++_0.4,mink++_0.5,mink++_0.6,mink++_0.7,mink++_0.8,mink++_0.9,mink++_1.0
-2.6442530155181885,-0.0119110496194513,-9.542502403259277,-8.315438270568848,-7.145443439483643,-5.9566144943237305,-5.068508148193359,-4.353974342346191,-3.742558717727661,-3.315643787384033,-2.9620494842529297,-2.6442525386810303,-2.0613038539886475,-1.4617071151733398,-1.0741465091705322,-0.7652460932731628,-0.5809333324432373,-0.4339751601219177,-0.2987942099571228,-0.19895780086517334,-0.10917017608880997,0.024359416216611862
-2.5672032833099365,-0.012900519011607721,-10.091928482055664,-8.302186965942383,-6.826229572296143,-5.776261329650879,-4.889556884765625,-4.194492340087891,-3.644219160079956,-3.2049074172973633,-2.851982593536377,-2.567203998565674,-1.8929064273834229,-1.3435888290405273,-0.9166287779808044,-0.6689773797988892,-0.4973424971103668,-0.36394014954566956,-0.2552838623523712,-0.1582542210817337,-0.06054549664258957,0.06288765370845795
-2.3734114170074463,-0.012234079469110547,-9.544624328613281,-7.954740047454834,-6.768696308135986,-5.478324890136719,-4.565923690795898,-3.9344708919525146,-3.3838706016540527,-3.0027873516082764,-2.6522879600524902,-2.3734118938446045,-1.9295969009399414,-1.2824820280075073,-0.8848662972450256,-0.6276582479476929,-0.4556955099105835,-0.3359222710132599,-0.2266344279050827,-0.14049389958381653,-0.04068699851632118,0.08971200883388519
-2.5934884548187256,-0.016108623942973452,-10.7368803024292,-8.835890769958496,-7.286196231842041,-6.143727779388428,-5.078825950622559,-4.286451816558838,-3.759100914001465,-3.2754695415496826,-2.8957431316375732,-2.5934886932373047,-2.1361072063446045,-1.4946402311325073,-1.026477336883545,-0.7755597829818726,-0.5809337496757507,-0.4296627640724182,-0.3260995149612427,-0.221014142036438,-0.11005883663892746,0.026869598776102066
-2.158738613128662,-0.011992992295159235,-9.621747016906738,-7.980251789093018,-6.416315078735352,-5.0768632888793945,-4.239341735839844,-3.5478804111480713,-3.0967304706573486,-2.6950979232788086,-2.4160704612731934,-2.158738374710083,-1.8039230108261108,-1.1599167585372925,-0.7800405025482178,-0.5393409729003906,-0.3977721631526947,-0.2702236473560333,-0.18220087885856628,-0.09128646552562714,-0.012882716953754425,0.11962541937828064
-2.4764842987060547,-0.01456755469827091,-10.603614807128906,-8.945487022399902,-7.379068374633789,-5.846564292907715,-4.8685150146484375,-4.14780855178833,-3.530313014984131,-3.114064931869507,-2.7808940410614014,-2.476484775543213,-1.9863884449005127,-1.4557729959487915,-1.0070695877075195,-0.70836341381073,-0.5357164740562439,-0.4027796983718872,-0.2844594717025757,-0.19237560033798218,-0.09991595894098282,0.04253821074962616
-2.327026128768921,-0.010873953872751967,-8.972732543945312,-7.4473795890808105,-6.209688663482666,-5.193077087402344,-4.40770959854126,-3.8313000202178955,-3.309548854827881,-2.937899351119995,-2.598541736602783,-2.327025890350342,-1.8298029899597168,-1.2918505668640137,-0.909824550151825,-0.6531692743301392,-0.4846580922603607,-0.36744192242622375,-0.2586556673049927,-0.17480480670928955,-0.08234833180904388,0.038363680243492126
-2.3712892532348633,-0.011916026398165143,-10.152240753173828,-8.492321968078613,-6.770149230957031,-5.452325820922852,-4.607517242431641,-3.943263530731201,-3.3751108646392822,-2.9788544178009033,-2.6592531204223633,-2.3712892532348633,-1.9167479276657104,-1.3640921115875244,-0.9238874316215515,-0.6454403400421143,-0.47805389761924744,-0.34781864285469055,-0.2299443781375885,-0.1382521092891693,-0.05270622298121452,0.07145165652036667
-2.1654133796691895,-0.011161924637470049,-9.502229690551758,-7.819211006164551,-6.119121551513672,-5.1025824546813965,-4.2178778648376465,-3.5630767345428467,-3.127023696899414,-2.729686975479126,-2.4160845279693604,-2.1654138565063477,-1.9673978090286255,-1.2958124876022339,-0.8482407331466675,-0.6299671530723572,-0.45788493752479553,-0.32318180799484253,-0.22885364294052124,-0.1331886500120163,-0.04178491234779358,0.08261191099882126
-2.3758938312530518,-0.010466492648691858,-9.12568187713623,-7.805024147033691,-6.479425430297852,-5.35655403137207,-4.518120765686035,-3.874753952026367,-3.4153754711151123,-2.965376138687134,-2.639352798461914,-2.3758935928344727,-1.9971643686294556,-1.3549563884735107,-0.9617459177970886,-0.7021224498748779,-0.524768590927124,-0.3812093734741211,-0.28029778599739075,-0.17003101110458374,-0.07377976179122925,0.04534227401018143
-2.2509944438934326,-0.013319493750848713,-9.661749839782715,-8.05178165435791,-6.414266109466553,-5.2390642166137695,-4.3777289390563965,-3.7340898513793945,-3.2404043674468994,-2.8503775596618652,-2.5363807678222656,-2.2509946823120117,-2.3389251232147217,-1.5379772186279297,-1.0489221811294556,-0.7674761414527893,-0.5780738592147827,-0.431833952665329,-0.31577762961387634,-0.2164459079504013,-0.12081539630889893,0.026180190965533257
-2.310732841491699,-0.013836723601746702,-9.320067405700684,-7.972134590148926,-6.616585731506348,-5.466366767883301,-4.532358646392822,-3.8341927528381348,-3.306943893432617,-2.895975112915039,-2.571298837661743,-2.310732364654541,-1.9095183610916138,-1.2538899183273315,-0.8378259539604187,-0.6037284731864929,-0.44647538661956787,-0.32261812686920166,-0.22201693058013916,-0.12994042038917542,-0.04318264126777649,0.07888426631689072
-2.247224807739258,-0.011465432692547234,-9.111434936523438,-7.7578911781311035,-6.3090691566467285,-5.192375183105469,-4.347407341003418,-3.71822452545166,-3.2311229705810547,-2.84051513671875,-2.527597665786743,-2.2472245693206787,-1.8860316276550293,-1.3316664695739746,-0.922062873840332,-0.6689567565917969,-0.4984949231147766,-0.3656632900238037,-0.2579679787158966,-0.16172313690185547,-0.07210481911897659,0.0570267029106617
-2.43823504447937,-0.011340628113857535,-9.48792839050293,-7.873361587524414,-6.478672504425049,-5.3598313331604,-4.621150493621826,-4.006965637207031,-3.4536280632019043,-3.0611870288848877,-2.7342982292175293,-2.43823504447937,-1.9849622249603271,-1.2803105115890503,-0.8518646359443665,-0.5966402888298035,-0.4403989017009735,-0.3129602074623108,-0.2003071904182434,-0.11100476235151291,-0.020348377525806427,0.1080826073884964
-2.3290209770202637,-0.008923452019234727,-9.03641414642334,-7.444858551025391,-5.936275482177734,-5.039482593536377,-4.281429767608643,-3.7491471767425537,-3.3128702640533447,-2.9113919734954834,-2.603886127471924,-2.3290209770202637,-1.8789246082305908,-1.2390025854110718,-0.8136459589004517,-0.5957593321800232,-0.4289494752883911,-0.30687350034713745,-0.20840571820735931,-0.10897750407457352,-0.021058043465018272,0.0924275666475296
-2.2157933712005615,-0.012734444662072193,-9.19481372833252,-7.8924713134765625,-6.315084457397461,-5.219379901885986,-4.287336826324463,-3.673511266708374,-3.1985464096069336,-2.776353120803833,-2.4840633869171143,-2.2157933712005615,-1.7325637340545654,-1.1726678609848022,-0.7776311635971069,-0.5761607885360718,-0.4192160665988922,-0.3086417615413666,-0.2164190709590912,-0.12377897650003433,-0.04245086386799812,0.093905508518219
-2.310119390487671,-0.012287869098338676,-10.084424018859863,-8.291984558105469,-6.6607890129089355,-5.330406188964844,-4.5090651512146,-3.7916595935821533,-3.3138887882232666,-2.884286642074585,-2.5854930877685547,-2.31011962890625,-1.9241646528244019,-1.2773884534835815,-0.8852990865707397,-0.6273408532142639,-0.4726128578186035,-0.33297237753868103,-0.2368723452091217,-0.13948212563991547,-0.057832974940538406,0.06627006828784943
-2.4378395080566406,-0.011950193666944317,-9.656243324279785,-8.17690372467041,-6.798666954040527,-5.6014509201049805,-4.691725254058838,-4.037030220031738,-3.475447177886963,-3.079784870147705,-2.7223896980285645,-2.4378395080566406,-2.3641951084136963,-1.5054806470870972,-1.0434620380401611,-0.7475600242614746,-0.556562602519989,-0.42072510719299316,-0.29834699630737305,-0.20295140147209167,-0.10255029052495956,0.027654580771923065
-2.3828694820404053,-0.012157497357349006,-9.499107360839844,-7.991333484649658,-6.465054988861084,-5.414591312408447,-4.57662296295166,-3.908914566040039,-3.3894059658050537,-2.976651191711426,-2.647374153137207,-2.3828697204589844,-1.9013004302978516,-1.3051246404647827,-0.8659937977790833,-0.627303957939148,-0.4650510847568512,-0.33312854170799255,-0.22562190890312195,-0.13027597963809967,-0.0256738793104887,0.10416467487812042
-2.5387890338897705,-0.012384336750681808,-9.753692626953125,-8.303863525390625,-6.954701900482178,-5.842822074890137,-4.844111442565918,-4.159860134124756,-3.623013973236084,-3.1976191997528076,-2.8513009548187256,-2.5387895107269287,-1.985024094581604,-1.353163480758667,-0.9216938614845276,-0.6717602014541626,-0.47572585940361023,-0.3414198160171509,-0.23272161185741425,-0.1367213875055313,-0.0369437001645565,0.1001601442694664
-2.1700193881988525,-0.009644530614217122,-9.41568660736084,-7.6427154541015625,-6.207824230194092,-5.006697654724121,-4.146594524383545,-3.5816800594329834,-3.0845389366149902,-2.740079641342163,-2.4231960773468018,-2.1700193881988525,-1.7642263174057007,-1.2242021560668945,-0.836578369140625,-0.5899192690849304,-0.42051318287849426,-0.30068740248680115,-0.19275334477424622,-0.11136645078659058,-0.02279914915561676,0.09413804858922958
-2.1322200298309326,-0.01093446169144068,-8.962891578674316,-7.662736415863037,-6.1736226081848145,-5.026217460632324,-4.105957984924316,-3.5096306800842285,-3.051250457763672,-2.6871495246887207,-2.394747734069824,-2.1322200298309326,-2.155874013900757,-1.3545081615447998,-0.9099648594856262,-0.6636636257171631,-0.48371511697769165,-0.3566008508205414,-0.2558356523513794,-0.16826872527599335,-0.08376460522413254,0.04775974154472351
-2.285092830657959,-0.010628338747246321,-10.140787124633789,-8.105276107788086,-6.484013080596924,-5.201296329498291,-4.41400671005249,-3.7277069091796875,-3.2696311473846436,-2.853597640991211,-2.5552761554718018,-2.285093069076538,-2.0749917030334473,-1.339591145515442,-0.924429714679718,-0.6593738198280334,-0.5023999214172363,-0.3540283739566803,-0.24851371347904205,-0.1406765580177307,-0.048732779920101166,0.07369281351566315
-2.5209691524505615,-0.01669515995000372,-9.997820854187012,-8.605780601501465,-7.077627182006836,-5.926897048950195,-4.886962890625,-4.194984436035156,-3.6528749465942383,-3.161055564880371,-2.830209732055664,-2.5209693908691406,-1.9258079528808594,-1.383735179901123,-0.9202816486358643,-0.6817771196365356,-0.49812477827072144,-0.37909817695617676,-0.27863597869873047,-0.17684011161327362,-0.08799559623003006,0.0508832186460495
-2.3504717350006104,-0.013508458247129944,-9.407517433166504,-8.029313087463379,-6.7667083740234375,-5.521431922912598,-4.565988540649414,-3.9196159839630127,-3.3598461151123047,-2.975306272506714,-2.626739025115967,-2.3504717350006104,-1.9646013975143433,-1.4023966789245605,-0.975438117980957,-0.6972734332084656,-0.521918773651123,-0.39693522453308105,-0.28127992153167725,-0.195649653673172,-0.10369005054235458,0.023661380633711815
