loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,mink++_0.1,mink++_0.2,mink++_0.3,mink++_0.4,mink++_0.5,mink++_0.6,mink++_0.7,mink++_0.8,mink++_0.9,mink++_1.0
-2.7639505863189697,-0.012450227866301665,-9.762737274169922,-8.53014087677002,-7.234554767608643,-6.050795555114746,-5.195990085601807,-4.508750915527344,-3.9073424339294434,-3.46415638923645,-3.0958869457244873,-2.7639505863189697,-2.135251045227051,-1.5491300821304321,-1.1638582944869995,-0.8445554375648499,-0.6516675353050232,-0.48959293961524963,-0.33958345651626587,-0.22569288313388824,-0.11883712559938431,0.014088140800595284
-2.7251250743865967,-0.013694095851188928,-10.942310333251953,-8.584332466125488,-6.993888854980469,-5.941109657287598,-5.068180084228516,-4.393640041351318,-3.8534810543060303,-3.400969982147217,-3.027369499206543,-2.7251250743865967,-2.140162229537964,-1.4663314819335938,-1.0102072954177856,-0.7345378398895264,-0.5430715680122375,-0.3828619420528412,-0.25444817543029785,-0.146262988448143,-0.04207749664783478,0.0748165175318718
-2.610135078430176,-0.013454304527990596,-9.85367488861084,-8.253183364868164,-7.041180610656738,-5.861924648284912,-4.9318318367004395,-4.300924777984619,-3.7132136821746826,-3.3013272285461426,-2.9166369438171387,-2.6101348400115967,-1.9165469408035278,-1.307368516921997,-0.9497882723808289,-0.6771152019500732,-0.498492032289505,-0.36529672145843506,-0.24242356419563293,-0.15163873136043549,-0.05329093709588051,0.0737382248044014
-2.73724102973938,-0.017001497079126585,-10.838120460510254,-8.905388832092285,-7.241573333740234,-6.194350719451904,-5.205905437469482,-4.482180595397949,-3.9635109901428223,-3.4571099281311035,-3.056122064590454,-2.73724102973938,-2.0067927837371826,-1.3886656761169434,-0.9870274662971497,-0.7464758157730103,-0.5601828098297119,-0.4137613773345947,-0.300265908241272,-0.1818472295999527,-0.06678972393274307,0.05782776325941086
-2.358290672302246,-0.013101614846123589,-10.035697937011719,-8.088724136352539,-6.510838031768799,-5.341025352478027,-4.537172794342041,-3.84883189201355,-3.37394118309021,-2.9438133239746094,-2.6393041610717773,-2.358290910720825,-1.8115122318267822,-1.1967154741287231,-0.8235052227973938,-0.5768283605575562,-0.42981311678886414,-0.28640347719192505,-0.18630459904670715,-0.08661617338657379,0.001167710986919701,0.12472835183143616
-2.6236236095428467,-0.015433080056134392,-10.672892570495605,-8.981770515441895,-7.386988162994385,-6.01526403427124,-5.088621139526367,-4.370177745819092,-3.737078905105591,-3.2983460426330566,-2.945939540863037,-2.6236231327056885,-2.0249521732330322,-1.4253653287887573,-1.0440791845321655,-0.7413357496261597,-0.5682458281517029,-0.43361619114875793,-0.29758918285369873,-0.19662350416183472,-0.09987207502126694,0.03444986417889595
-2.4575178623199463,-0.01148372832859788,-9.560284614562988,-7.711831569671631,-6.323737144470215,-5.301043510437012,-4.524959087371826,-3.9934895038604736,-3.4879605770111084,-3.1017637252807617,-2.7440872192382812,-2.457517623901367,-1.9909038543701172,-1.3467588424682617,-0.9724519848823547,-0.6931426525115967,-0.5078563094139099,-0.3756069839000702,-0.25383320450782776,-0.15933670103549957,-0.05678453668951988,0.05895036458969116
-2.6639108657836914,-0.013386486762732118,-10.79979133605957,-8.780525207519531,-7.178369045257568,-5.891690254211426,-5.048347473144531,-4.37746000289917,-3.7758281230926514,-3.3449199199676514,-2.9873125553131104,-2.6639108657836914,-1.9505184888839722,-1.3666210174560547,-0.939305305480957,-0.6621760129928589,-0.4975358545780182,-0.35318684577941895,-0.2219380885362625,-0.12003520131111145,-0.02324465662240982,0.1014445349574089
-2.4016621112823486,-0.01237970160454819,-10.272332191467285,-8.008170127868652,-6.325029373168945,-5.402688026428223,-4.561894416809082,-3.916433334350586,-3.4593935012817383,-3.0271501541137695,-2.6795554161071777,-2.4016623497009277,-2.107764959335327,-1.389550805091858,-0.9312373399734497,-0.6911773085594177,-0.5024399161338806,-0.351203054189682,-0.24608464539051056,-0.13771243393421173,-0.03391938656568527,0.0837387964129448
-2.521294355392456,-0.011107023592037251,-9.606575012207031,-7.840909957885742,-6.464319705963135,-5.462986946105957,-4.69942045211792,-4.069716453552246,-3.612027168273926,-3.1460113525390625,-2.800785541534424,-2.521294116973877,-2.0922446250915527,-1.4107643365859985,-0.9920789003372192,-0.7261426448822021,-0.5464898943901062,-0.398921936750412,-0.2877736985683441,-0.1658586859703064,-0.06330860406160355,0.053095851093530655
