loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,mink++_0.1,mink++_0.2,mink++_0.3,mink++_0.4,mink++_0.5,mink++_0.6,mink++_0.7,mink++_0.8,mink++_0.9,mink++_1.0
-2.3984997272491455,-0.014276784090768723,-8.919034957885742,-7.598714351654053,-6.304032802581787,-5.333317279815674,-4.5543599128723145,-3.950191020965576,-3.453122854232788,-3.0376343727111816,-2.702634572982788,-2.3984999656677246,-1.4952374696731567,-1.052742600440979,-0.72396320104599,-0.5262389779090881,-0.3908747136592865,-0.2752683162689209,-0.1702454835176468,-0.07622074335813522,0.015353001654148102,0.13674411177635193
-2.515901565551758,-0.01026898598184391,-9.126307487487793,-7.814997673034668,-6.405538082122803,-5.3993635177612305,-4.644332408905029,-4.090585231781006,-3.5638797283172607,-3.170628309249878,-2.807823419570923,-2.515902042388916,-1.6688084602355957,-1.117677092552185,-0.7816753387451172,-0.5554304718971252,-0.39638325572013855,-0.27978983521461487,-0.1737869679927826,-0.08623069524765015,0.009670346044003963,0.12178424745798111
-2.472470760345459,-0.00965808890759945,-8.918689727783203,-7.724708080291748,-6.288403511047363,-5.340927600860596,-4.620885372161865,-4.01968240737915,-3.5111427307128906,-3.090703248977661,-2.7495787143707275,-2.472470998764038,-1.5895880460739136,-1.171249270439148,-0.8381404876708984,-0.600783109664917,-0.43876227736473083,-0.3107199966907501,-0.2033737301826477,-0.11291804164648056,-0.0222299974411726,0.088730089366436
-2.771455764770508,-0.009827857321881234,-9.87905502319336,-8.182122230529785,-6.805774211883545,-5.866553783416748,-5.120294570922852,-4.507546901702881,-3.952197551727295,-3.4883108139038086,-3.1066813468933105,-2.7714555263519287,-2.059994697570801,-1.4263663291931152,-1.0332748889923096,-0.7652223110198975,-0.5845774412155151,-0.43859514594078064,-0.31693997979164124,-0.20902325212955475,-0.10534809529781342,0.01722380891442299
-2.678497314453125,-0.007741321718072616,-10.007708549499512,-7.969419479370117,-6.5149827003479,-5.635541915893555,-4.888957977294922,-4.275897979736328,-3.7861785888671875,-3.346839189529419,-2.98122501373291,-2.678497076034546,-3.062255859375,-1.9097882509231567,-1.3291363716125488,-0.9814236164093018,-0.7289943099021912,-0.5384075045585632,-0.397703617811203,-0.27233773469924927,-0.15447162091732025,-0.021914474666118622
-2.5400519371032715,-0.010627832372817036,-9.61892032623291,-7.843923568725586,-6.411294460296631,-5.514453411102295,-4.693800449371338,-4.073112964630127,-3.623243570327759,-3.1917648315429688,-2.831216335296631,-2.5400516986846924,-1.692478895187378,-1.1701165437698364,-0.8066512942314148,-0.5977716445922852,-0.43922290205955505,-0.3057461977005005,-0.20174948871135712,-0.09808319061994553,0.00269961915910244,0.11210262775421143
-2.192798137664795,-0.006852494180202484,-8.324923515319824,-6.649160385131836,-5.452218055725098,-4.6961259841918945,-4.057240962982178,-3.548403263092041,-3.1382665634155273,-2.753065347671509,-2.4423635005950928,-2.192798376083374,-1.9515814781188965,-1.2856193780899048,-0.8852981925010681,-0.6547706723213196,-0.4844997227191925,-0.34937214851379395,-0.24064913392066956,-0.1327647715806961,-0.028765292838215828,0.08620984107255936
-2.7936885356903076,-0.0107864422227425,-9.618528366088867,-8.21186637878418,-7.098128795623779,-6.023307800292969,-5.251692771911621,-4.590465545654297,-3.9726438522338867,-3.5054163932800293,-3.127270460128784,-2.7936885356903076,-2.1090826988220215,-1.497420072555542,-1.1028494834899902,-0.8011953830718994,-0.6210625767707825,-0.48328325152397156,-0.354266494512558,-0.2450331747531891,-0.14288008213043213,-0.012769201770424843
-2.5484657287597656,-0.0066539575163440355,-9.02160358428955,-7.465250015258789,-6.396826267242432,-5.541726112365723,-4.754778861999512,-4.144287109375,-3.6521918773651123,-3.200618028640747,-2.8386194705963135,-2.5484657287597656,-2.026224136352539,-1.3516484498977661,-0.9615194201469421,-0.7186523675918579,-0.5434874296188354,-0.40935271978378296,-0.2995535135269165,-0.19427905976772308,-0.08486607670783997,0.03708890080451965
-2.7790334224700928,-0.009889798656477199,-10.025903701782227,-8.522159576416016,-7.019565105438232,-5.93651008605957,-5.121438503265381,-4.465229034423828,-3.9180421829223633,-3.4659273624420166,-3.087184190750122,-2.7790324687957764,-1.9157764911651611,-1.369889497756958,-1.0061442852020264,-0.7428891658782959,-0.568539023399353,-0.426225483417511,-0.30016905069351196,-0.1912190467119217,-0.09074744582176208,0.023819025605916977
