loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,mink++_0.1,mink++_0.2,mink++_0.3,mink++_0.4,mink++_0.5,mink++_0.6,mink++_0.7,mink++_0.8,mink++_0.9,mink++_1.0
-2.8413515090942383,-0.01235370221345321,-10.382566452026367,-8.803705215454102,-7.574488639831543,-6.465560436248779,-5.467237949371338,-4.686892509460449,-4.058736801147461,-3.5578296184539795,-3.1605782508850098,-2.841351270675659,-2.3877108097076416,-1.8315287828445435,-1.3851197957992554,-1.031952977180481,-0.80535888671875,-0.6392090916633606,-0.5049031376838684,-0.385142058134079,-0.2681210935115814,-0.13882218301296234
-2.630850315093994,-0.011797535045264547,-9.393021583557129,-8.17554759979248,-6.957420349121094,-5.864617824554443,-4.978168487548828,-4.292016983032227,-3.788527488708496,-3.3129169940948486,-2.9340291023254395,-2.630850315093994,-2.813051223754883,-2.100548505783081,-1.599395513534546,-1.2241815328598022,-0.9463495016098022,-0.7493670582771301,-0.6099621653556824,-0.4739806652069092,-0.34208130836486816,-0.1946503221988678
-2.88230037689209,-0.012317522978171324,-10.214041709899902,-8.667376518249512,-7.614985466003418,-6.416017055511475,-5.426797866821289,-4.734223365783691,-4.100961208343506,-3.6356029510498047,-3.216977834701538,-2.88230037689209,-2.9582536220550537,-2.138615846633911,-1.6257398128509521,-1.200865626335144,-0.927202045917511,-0.7478342056274414,-0.5861959457397461,-0.45538821816444397,-0.3202176094055176,-0.16930562257766724
-2.801591396331787,-0.011529182700953856,-9.76693344116211,-8.38953685760498,-7.275890827178955,-6.149606227874756,-5.277676582336426,-4.59744930267334,-4.019038677215576,-3.5356597900390625,-3.146782636642456,-2.801591396331787,-2.4115514755249023,-1.7372288703918457,-1.3041808605194092,-0.9782233834266663,-0.7602249383926392,-0.5970661640167236,-0.46207675337791443,-0.33778467774391174,-0.2084142118692398,-0.0671248510479927
-2.628633499145508,-0.013013037124482712,-10.53843879699707,-8.714752197265625,-7.1303277015686035,-5.966762542724609,-5.064457416534424,-4.3424973487854,-3.7736294269561768,-3.3211934566497803,-2.956439733505249,-2.6286330223083496,-2.5927438735961914,-1.8513972759246826,-1.3328750133514404,-0.9818887710571289,-0.7549898624420166,-0.5891163349151611,-0.4541933238506317,-0.3363308906555176,-0.22658759355545044,-0.08828088641166687
-2.8050334453582764,-0.013169171104968434,-9.820873260498047,-8.362920761108398,-7.322573661804199,-6.179083347320557,-5.246036529541016,-4.603549957275391,-4.011686325073242,-3.5205981731414795,-3.123821258544922,-2.8050336837768555,-3.9550676345825195,-2.620619058609009,-1.9112786054611206,-1.4164236783981323,-1.098868489265442,-0.8960155248641968,-0.7199859023094177,-0.567070722579956,-0.4189552664756775,-0.26042065024375916
-2.939673662185669,-0.01318239310397161,-9.591569900512695,-8.256979942321777,-7.261560440063477,-6.372856140136719,-5.48079776763916,-4.833154201507568,-4.206934928894043,-3.6894443035125732,-3.273932695388794,-2.93967342376709,-2.644019603729248,-2.020498275756836,-1.6099289655685425,-1.238492488861084,-0.9700416326522827,-0.7913647294044495,-0.6316094994544983,-0.4950224757194519,-0.36469411849975586,-0.21407562494277954
-2.56563138961792,-0.011609191808225882,-8.996162414550781,-7.881481170654297,-6.64009952545166,-5.669198513031006,-4.832747936248779,-4.174500465393066,-3.6872589588165283,-3.230431079864502,-2.8612358570098877,-2.56563138961792,-2.4763824939727783,-1.853812575340271,-1.4138089418411255,-1.0761622190475464,-0.8255199193954468,-0.6468328833580017,-0.5206704139709473,-0.396392822265625,-0.27428770065307617,-0.13386981189250946
-2.658630609512329,-0.013032502987805535,-10.683521270751953,-8.742138862609863,-7.228362560272217,-6.080138206481934,-5.068174362182617,-4.366535186767578,-3.800137519836426,-3.3483548164367676,-2.9856879711151123,-2.658630609512329,-2.5866615772247314,-1.9296941757202148,-1.392709732055664,-1.0315605401992798,-0.7700506448745728,-0.6014719009399414,-0.46623116731643677,-0.3503713011741638,-0.228227436542511,-0.08703092485666275
-2.5370726585388184,-0.01401697601402662,-9.392300605773926,-8.040188789367676,-6.980565547943115,-5.782947063446045,-4.856694221496582,-4.221474647521973,-3.6444079875946045,-3.186828851699829,-2.826490879058838,-2.5370724201202393,-2.610105037689209,-1.874035120010376,-1.378145456314087,-1.0147508382797241,-0.7781704068183899,-0.6239845752716064,-0.4862149655818939,-0.367898553609848,-0.25199174880981445,-0.12062668055295944
