loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,mink++_0.1,mink++_0.2,mink++_0.3,mink++_0.4,mink++_0.5,mink++_0.6,mink++_0.7,mink++_0.8,mink++_0.9,mink++_1.0
-2.284954309463501,-0.013600918508711316,-9.260411262512207,-7.9726080894470215,-6.466036319732666,-5.348172664642334,-4.486530780792236,-3.816190481185913,-3.2973837852478027,-2.8938827514648438,-2.574647903442383,-2.28495454788208,-1.792169213294983,-1.1649999618530273,-0.7814046740531921,-0.5639588832855225,-0.4171697199344635,-0.2993326783180237,-0.20343759655952454,-0.11849202960729599,-0.035937026143074036,0.09298565983772278
-2.3827056884765625,-0.009725329340720663,-9.256763458251953,-7.844140529632568,-6.414599418640137,-5.345895290374756,-4.533726215362549,-3.925516128540039,-3.387829542160034,-3.004086971282959,-2.659233808517456,-2.3827059268951416,-1.7461374998092651,-1.161728858947754,-0.7993155717849731,-0.5642399191856384,-0.4054502546787262,-0.29120373725891113,-0.18897435069084167,-0.10980833321809769,-0.01677451655268669,0.10137578099966049
-2.386570453643799,-0.00932254083454609,-9.223869323730469,-7.887414455413818,-6.423736572265625,-5.3734588623046875,-4.560369491577148,-3.914919376373291,-3.394702196121216,-2.9849228858947754,-2.654109001159668,-2.386570692062378,-1.8539777994155884,-1.2548619508743286,-0.8769170045852661,-0.6267846822738647,-0.45624056458473206,-0.3251035511493683,-0.22043520212173462,-0.13254307210445404,-0.046487342566251755,0.06834892928600311
-2.5552115440368652,-0.009061033844102359,-9.455618858337402,-8.021071434020996,-6.725110054016113,-5.657510280609131,-4.843898296356201,-4.188615322113037,-3.653092384338379,-3.2180542945861816,-2.8642892837524414,-2.555211067199707,-1.9375537633895874,-1.3245837688446045,-0.9332310557365417,-0.6823384761810303,-0.517026960849762,-0.3822401165962219,-0.27086058259010315,-0.16961564123630524,-0.07231450080871582,0.05453157797455788
-2.4228248596191406,-0.0070023839873385564,-10.05025577545166,-7.683682441711426,-6.160101413726807,-5.2756781578063965,-4.530998706817627,-3.90828537940979,-3.4433717727661133,-3.0306084156036377,-2.6970696449279785,-2.4228246212005615,-3.0221903324127197,-1.7798975706100464,-1.190747618675232,-0.8734489679336548,-0.6381936073303223,-0.46495944261550903,-0.33896252512931824,-0.2254689633846283,-0.11875198781490326,0.016085756942629814
-2.303483247756958,-0.00963800522074041,-9.141889572143555,-7.657352447509766,-6.253524303436279,-5.257735729217529,-4.407200336456299,-3.7584269046783447,-3.3021128177642822,-2.89585542678833,-2.5676393508911133,-2.303483247756958,-1.7035757303237915,-1.1482844352722168,-0.8047282099723816,-0.5962491035461426,-0.43167027831077576,-0.30189836025238037,-0.20641005039215088,-0.11270592361688614,-0.024882987141609192,0.08903656899929047
-1.9788800477981567,-0.0061840001493692395,-8.335033416748047,-6.497391223907471,-5.221622467041016,-4.410675525665283,-3.7527666091918945,-3.227205276489258,-2.832623243331909,-2.4849188327789307,-2.2040112018585205,-1.9788801670074463,-2.011455774307251,-1.2560291290283203,-0.8194419741630554,-0.5999974608421326,-0.43589648604393005,-0.3071856200695038,-0.2098151594400406,-0.1145031526684761,-0.02327493578195572,0.0857081487774849
-2.54052472114563,-0.009808975757319035,-9.609491348266602,-8.10673713684082,-6.762723445892334,-5.679692268371582,-4.884639263153076,-4.215457439422607,-3.61844801902771,-3.1880173683166504,-2.8438212871551514,-2.540524959564209,-2.091540813446045,-1.431225299835205,-0.9929916858673096,-0.7085331082344055,-0.5434901118278503,-0.4184637665748596,-0.30219027400016785,-0.20817628502845764,-0.11089766770601273,0.02601242996752262
-2.27172589302063,-0.005931399198487284,-8.863226890563965,-7.260836124420166,-5.945378303527832,-5.102888107299805,-4.311350345611572,-3.7074310779571533,-3.2522668838500977,-2.8521318435668945,-2.530470848083496,-2.271726131439209,-1.920522689819336,-1.1651065349578857,-0.7739812135696411,-0.5666255354881287,-0.40997639298439026,-0.2886095345020294,-0.19515524804592133,-0.09943044185638428,-0.006336128804832697,0.10684933513402939
-2.546705722808838,-0.009063009689711167,-9.634031295776367,-8.317891120910645,-6.776986598968506,-5.643723487854004,-4.813633441925049,-4.144617080688477,-3.6096060276031494,-3.1783559322357178,-2.829252243041992,-2.546705722808838,-1.865634560585022,-1.3133801221847534,-0.9222816228866577,-0.6734649538993835,-0.5037503838539124,-0.3682156801223755,-0.25571438670158386,-0.15601187944412231,-0.06766647100448608,0.04368488863110542
-2.7256243228912354,-0.007571178674697876,-9.455979347229004,-8.070947647094727,-6.791049480438232,-5.851896286010742,-5.062480449676514,-4.394410133361816,-3.8789610862731934,-3.4145894050598145,-3.034803628921509,-2.7256240844726562,-2.3140921592712402,-1.6115634441375732,-1.1759079694747925,-0.8797597289085388,-0.6652775406837463,-0.5009598135948181,-0.37856167554855347,-0.26030081510543823,-0.1521797776222229,-0.027487408369779587
-2.7439498901367188,-0.008190895194437966,-9.78042221069336,-8.248573303222656,-6.7828779220581055,-5.826635360717773,-5.033394813537598,-4.385949611663818,-3.886965274810791,-3.4340627193450928,-3.054939031600952,-2.7439498901367188,-2.327998399734497,-1.5965964794158936,-1.090505599975586,-0.8063915967941284,-0.5944457650184631,-0.433266282081604,-0.31123673915863037,-0.19829729199409485,-0.09064135700464249,0.049315884709358215
-2.285557985305786,-0.010249138947559579,-8.86021900177002,-7.856199264526367,-6.461538314819336,-5.2176594734191895,-4.416593074798584,-3.78920316696167,-3.253568649291992,-2.8692588806152344,-2.5604820251464844,-2.285557985305786,-1.7211108207702637,-1.1953167915344238,-0.8354240655899048,-0.5904231071472168,-0.4474259614944458,-0.3339051604270935,-0.22581103444099426,-0.13845108449459076,-0.05692879483103752,0.06859664618968964
-2.5872082710266113,-0.015585591994136214,-9.663115501403809,-8.209786415100098,-6.971408843994141,-5.872531890869141,-4.963307857513428,-4.247766971588135,-3.681908130645752,-3.231449604034424,-2.8743109703063965,-2.5872080326080322,-1.9344289302825928,-1.2772852182388306,-0.8930875658988953,-0.6525774002075195,-0.4936109185218811,-0.36398282647132874,-0.2564024031162262,-0.1589437872171402,-0.06331856548786163,0.0654832273721695
-2.320272922515869,-0.010498972500071806,-8.941353797912598,-7.642515182495117,-6.302437782287598,-5.229524612426758,-4.473434925079346,-3.7972705364227295,-3.3193576335906982,-2.8968307971954346,-2.594454288482666,-2.320272207260132,-1.6412546634674072,-1.1011877059936523,-0.7533443570137024,-0.5277712345123291,-0.3910863995552063,-0.2657366693019867,-0.17397227883338928,-0.08263742178678513,0.0004789162485394627,0.11829966306686401
-2.431752920150757,-0.007280697365720829,-8.829401016235352,-7.2896409034729,-5.8932108879089355,-5.0533127784729,-4.374673366546631,-3.835329532623291,-3.416384696960449,-3.0348377227783203,-2.7069091796875,-2.431752920150757,-1.7255247831344604,-1.1544873714447021,-0.7836060523986816,-0.5716262459754944,-0.3971743881702423,-0.26175060868263245,-0.16042691469192505,-0.06380768865346909,0.023284446448087692,0.1311790943145752
-2.7502682209014893,-0.007791128104536796,-9.183516502380371,-7.659364700317383,-6.336709499359131,-5.52557373046875,-4.847641468048096,-4.285584449768066,-3.8490676879882812,-3.4312236309051514,-3.0617523193359375,-2.7502684593200684,-2.707186460494995,-1.7691515684127808,-1.2337924242019653,-0.9248619079589844,-0.691847562789917,-0.516594409942627,-0.3836946487426758,-0.25885286927223206,-0.14681409299373627,-0.018156128004193306
-2.4583542346954346,-0.00964060484194288,-8.857234954833984,-7.883891582489014,-6.608913421630859,-5.605771541595459,-4.683344841003418,-4.036590099334717,-3.5260682106018066,-3.077317953109741,-2.7505545616149902,-2.4583539962768555,-1.77651047706604,-1.2288066148757935,-0.8561965823173523,-0.6323403120040894,-0.46537816524505615,-0.3397078216075897,-0.2376866638660431,-0.13705234229564667,-0.04696432873606682,0.07554592192173004
-2.1432812213897705,-0.0060544667270897475,-8.670336723327637,-6.737277984619141,-5.541759490966797,-4.778481960296631,-4.104933738708496,-3.5215208530426025,-3.0764734745025635,-2.6909823417663574,-2.386888265609741,-2.1432809829711914,-1.8413147926330566,-1.2581031322479248,-0.9063131213188171,-0.6719493269920349,-0.505033552646637,-0.38135942816734314,-0.2866274118423462,-0.1977563202381134,-0.10934069752693176,0.00930352695286274
-2.1988186836242676,-0.012934227550730986,-9.213308334350586,-7.779349327087402,-6.26807165145874,-5.133777141571045,-4.2613348960876465,-3.677241086959839,-3.163820505142212,-2.7635552883148193,-2.449821710586548,-2.1988182067871094,-2.0155675411224365,-1.1868135929107666,-0.7679265141487122,-0.5434681177139282,-0.3924214839935303,-0.28716275095939636,-0.18603824079036713,-0.09762498736381531,-0.015460499562323093,0.10590534657239914
-2.586392641067505,-0.007368640003041324,-9.22131633758545,-7.635672569274902,-6.354761123657227,-5.475049018859863,-4.7350335121154785,-4.143881797790527,-3.6750128269195557,-3.242358446121216,-2.8803160190582275,-2.586392402648926,-2.8060896396636963,-1.8206324577331543,-1.2660226821899414,-0.9464426636695862,-0.7180789709091187,-0.5447925329208374,-0.4136998951435089,-0.29235807061195374,-0.1864202618598938,-0.057921409606933594
-2.556215763092041,-0.00960983369583474,-10.155949592590332,-8.63698959350586,-7.147215366363525,-5.813165664672852,-4.931110382080078,-4.2363104820251465,-3.6352081298828125,-3.2071824073791504,-2.861402750015259,-2.556215524673462,-2.0508999824523926,-1.4505339860916138,-0.9984798431396484,-0.7106165885925293,-0.5366439819335938,-0.3966938853263855,-0.2754373550415039,-0.18088997900485992,-0.08825306594371796,0.03370850533246994
-1.8999577760696411,-0.007480148724683626,-8.37238883972168,-6.541075706481934,-5.2333664894104,-4.288423538208008,-3.615570068359375,-3.0969913005828857,-2.6956396102905273,-2.3725509643554688,-2.1108152866363525,-1.899957537651062,-1.8277122974395752,-1.03401517868042,-0.6784102916717529,-0.4813617169857025,-0.3439488112926483,-0.22700275480747223,-0.1312234103679657,-0.04641672968864441,0.03559926897287369,0.14382188022136688
-2.7665200233459473,-0.01224123904135375,-9.592353820800781,-8.430530548095703,-7.280175685882568,-6.05684757232666,-5.223432540893555,-4.561386585235596,-3.9302804470062256,-3.4743480682373047,-3.1024396419525146,-2.7665200233459473,-2.0925655364990234,-1.606806755065918,-1.1924878358840942,-0.8583170175552368,-0.664333164691925,-0.5132213830947876,-0.3767176568508148,-0.27088451385498047,-0.16436626017093658,-0.01757756993174553
-2.4670515060424805,-0.009674711788401884,-9.126696586608887,-7.925376892089844,-6.669751167297363,-5.608962059020996,-4.682443618774414,-4.034696102142334,-3.516425609588623,-3.103776454925537,-2.767237424850464,-2.4670515060424805,-1.9673219919204712,-1.3040543794631958,-0.9033565521240234,-0.6567572355270386,-0.4747992753982544,-0.34597477316856384,-0.23867006599903107,-0.1449270397424698,-0.04998243600130081,0.08313994109630585
-2.3744168281555176,-0.009652100927461453,-8.237716674804688,-7.228963375091553,-6.135096549987793,-5.227012634277344,-4.4737629890441895,-3.8498289585113525,-3.3569581508636475,-2.9618191719055176,-2.637632369995117,-2.3744168281555176,-1.9968292713165283,-1.18170964717865,-0.7704399824142456,-0.5435847640037537,-0.38797056674957275,-0.2625299394130707,-0.16063061356544495,-0.06917156279087067,0.0204026997089386,0.13816553354263306
-2.367565870285034,-0.012797653352892076,-8.968111038208008,-7.716668605804443,-6.319419860839844,-5.295371055603027,-4.505364894866943,-3.865609884262085,-3.362140417098999,-2.955979824066162,-2.630208730697632,-2.367565870285034,-1.668212652206421,-1.101298213005066,-0.741462767124176,-0.5356539487838745,-0.392881840467453,-0.27571576833724976,-0.17781482636928558,-0.08794081956148148,0.0050073531456291676,0.12795057892799377
-2.521590232849121,-0.01120706770155165,-9.221138000488281,-8.029790878295898,-6.752010345458984,-5.732074737548828,-4.792392730712891,-4.146895408630371,-3.6200525760650635,-3.156921625137329,-2.823629856109619,-2.521589994430542,-1.9646828174591064,-1.4295337200164795,-0.9963531494140625,-0.7398915886878967,-0.5446169972419739,-0.40652206540107727,-0.29574787616729736,-0.18672789633274078,-0.09461841732263565,0.03218092396855354
